"","age","white","male","pid7","ideo7","educ","income","trustgov"
"1",80,1,1,7,7,3,5,4
"2",30,0,0,2,3,4,13,3
"3",66,1,0,3,4,3,4,3
"4",46,0,1,4,2,7,1,1
"5",80,1,1,7,6,3,22,3
"6",39,0,0,1,5,5,7,3
"7",51,1,0,1,2,7,20,3
"8",32,1,1,6,7,6,10,1
"9",62,1,1,7,4,2,16,4
"10",57,1,1,7,6,6,8,2
"11",61,1,0,5,6,2,7,4
"12",41,1,0,6,4,7,20,2
"13",32,0,0,3,3,6,12,2
"14",68,1,1,7,4,2,4,3
"15",40,1,0,7,5,6,21,4
"16",34,1,1,7,6,2,7,5
"17",54,1,0,6,4,2,11,2
"18",37,1,1,3,1,6,15,2
"19",60,1,0,1,1,3,21,4
"20",66,1,1,1,4,7,10,3
"21",63,1,1,7,6,6,13,3
"22",24,1,1,1,2,6,9,1
"23",66,1,1,7,6,6,20,2
"24",45,0,0,4,4,4,3,4
"25",44,1,0,1,2,6,20,3
"26",53,1,1,7,6,6,17,2
"27",67,1,0,1,2,7,21,2
"28",66,1,0,7,6,3,10,3
"29",45,1,0,7,5,3,10,4
"30",38,0,1,4,3,6,1,2
"31",75,1,0,7,6,5,5,3
"32",51,1,1,6,3,7,20,3
"33",69,1,1,7,6,6,21,3
"34",45,1,0,7,4,4,1,2
"35",54,1,0,5,4,2,15,2
"36",71,1,1,3,4,5,7,3
"37",27,1,1,2,2,7,4,2
"38",76,1,0,7,6,3,7,4
"39",62,1,0,2,4,4,2,3
"40",60,1,0,7,6,3,19,3
"41",68,1,1,5,5,5,11,2
"42",56,1,1,1,4,2,3,2
"43",26,1,1,5,6,6,6,4
"44",29,0,0,3,2,3,3,2
"45",66,1,0,7,7,3,7,4
"46",46,1,0,5,6,3,19,2
"47",70,1,1,4,4,6,5,2
"48",43,0,0,2,4,6,21,3
"49",31,0,0,1,1,8,9,1
"50",42,1,0,3,2,4,17,2
"51",72,1,1,7,7,7,2,3
"52",57,1,0,7,5,3,3,3
"53",29,0,1,2,4,4,10,1
"54",24,0,1,5,3,5,17,1
"55",68,1,1,3,1,6,1,3
"56",35,1,1,5,5,6,15,1
"57",63,1,0,4,3,6,2,2
"58",62,1,1,7,6,1,18,2
"59",60,1,0,1,3,4,16,2
"60",52,1,0,1,2,6,22,2
"61",43,1,0,1,2,7,22,3
"62",74,1,1,7,4,1,16,5
"63",71,0,1,1,4,3,16,4
"64",29,1,0,3,3,6,2,2
"65",65,1,0,7,7,2,22,2
"66",43,1,1,5,4,2,6,3
"67",29,1,1,6,2,3,17,5
"68",43,0,0,7,6,5,9,3
"69",67,1,0,7,7,2,10,4
"70",42,1,1,6,5,7,22,4
"71",28,0,1,3,4,2,5,2
"72",59,1,0,3,4,3,10,2
"73",27,1,0,7,6,7,21,2
"74",77,1,1,7,6,3,15,2
"75",69,1,1,3,3,7,15,2
"76",75,1,1,4,5,6,4,4
"77",59,1,1,1,2,7,16,4
"78",20,0,0,2,3,2,8,2
"79",24,0,0,2,2,6,8,2
"80",52,1,0,2,5,6,4,4
