Year,Jury.or.Televoting,From.country,To.country,Points
2016,T,Albania,Armenia,2
2016,T,Albania,Australia,12
2016,T,Albania,Austria,0
2016,T,Albania,Azerbaijan,0
2016,T,Albania,Belgium,0
2016,T,Albania,Bulgaria,8
2016,T,Albania,Croatia,0
2016,T,Albania,Cyprus,0
2016,T,Albania,Czech Republic,0
2016,T,Albania,France,0
2016,T,Albania,Georgia,0
2016,T,Albania,Germany,0
2016,T,Albania,Hungary,1
2016,T,Albania,Israel,0
2016,T,Albania,Italy,10
2016,T,Albania,Latvia,0
2016,T,Albania,Lithuania,4
2016,T,Albania,Malta,0
2016,T,Albania,Poland,5
2016,T,Albania,Russia,7
2016,T,Albania,Serbia,0
2016,T,Albania,Spain,0
2016,T,Albania,Sweden,3
2016,T,Albania,The Netherlands,0
2016,T,Albania,Ukraine,6
2016,T,Albania,United Kingdom,0
2016,T,Armenia,Australia,0
2016,T,Armenia,Austria,4
2016,T,Armenia,Azerbaijan,0
2016,T,Armenia,Belgium,0
2016,T,Armenia,Bulgaria,0
2016,T,Armenia,Croatia,0
2016,T,Armenia,Cyprus,6
2016,T,Armenia,Czech Republic,0
2016,T,Armenia,France,7
2016,T,Armenia,Georgia,8
2016,T,Armenia,Germany,0
2016,T,Armenia,Hungary,3
2016,T,Armenia,Israel,0
2016,T,Armenia,Italy,0
2016,T,Armenia,Latvia,0
2016,T,Armenia,Lithuania,0
2016,T,Armenia,Malta,5
2016,T,Armenia,Poland,1
2016,T,Armenia,Russia,12
2016,T,Armenia,Serbia,0
2016,T,Armenia,Spain,0
2016,T,Armenia,Sweden,2
2016,T,Armenia,The Netherlands,0
2016,T,Armenia,Ukraine,10
2016,T,Armenia,United Kingdom,0
2016,T,Australia,Armenia,0
2016,T,Australia,Austria,3
2016,T,Australia,Azerbaijan,0
2016,T,Australia,Belgium,12
2016,T,Australia,Bulgaria,10
2016,T,Australia,Croatia,0
2016,T,Australia,Cyprus,0
2016,T,Australia,Czech Republic,0
2016,T,Australia,France,7
2016,T,Australia,Georgia,0
2016,T,Australia,Germany,0
2016,T,Australia,Hungary,0
2016,T,Australia,Israel,0
2016,T,Australia,Italy,0
2016,T,Australia,Latvia,0
2016,T,Australia,Lithuania,1
2016,T,Australia,Malta,6
2016,T,Australia,Poland,0
2016,T,Australia,Russia,5
2016,T,Australia,Serbia,0
2016,T,Australia,Spain,2
2016,T,Australia,Sweden,0
2016,T,Australia,The Netherlands,0
